firm,rating,headline,pros,cons,reviewText,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Overall Sentiment
Octopus Investments,5,fantastic work place,"A great company, which gives you an opportunity to learn and develop quickly. Extremely friendly colleagues and lovely work environment.",Pay will always be lower compared to other similar sized companies.,"fantastic work place. A great company, which gives you an opportunity to learn and develop quickly. Extremely friendly colleagues and lovely work environment.. Pay will always be lower compared to other similar sized companies.",0.014906961,0.107335225,0.8777577,Positive Sentiment
Octopus Investments,5,"Great people, poor pay","Good place to work. Not a lot of pressure, good people, good holiday entitlement",Pay is pretty low for the industry.,"Great people, poor pay. Good place to work. Not a lot of pressure, good people, good holiday entitlement. Pay is pretty low for the industry.",0.10283754,0.25100115,0.6461613,Positive Sentiment
Octopus Investments,5,Great culture,You couldn't work with a better group of people than at Octopus. The culture is A+. Benefits are great.,Pay is below market rate. Management abilities amongst senior leaders are mixed.,Great culture. You couldn't work with a better group of people than at Octopus. The culture is A+. Benefits are great.. Pay is below market rate. Management abilities amongst senior leaders are mixed.,0.0060094283,0.0864278,0.90756273,Positive Sentiment
Octopus Investments,4,"Good company except low pay, poor middle management",Can be good progression Lots of things happening,Will happily admit they underpay Middle management is hit and miss,"Good company except low pay, poor middle management. Can be good progression Lots of things happening. Will happily admit they underpay Middle management is hit and miss",0.2980078,0.43028906,0.27170318,Neutral Sentiment
Octopus Investments,5,Great company to start career at,"Fast paced, learn a lot. There is the ability to get into a fun progressive team that wants to change its industry.",Had an average manager in the end. But was good before then.,"Great company to start career at. Fast paced, learn a lot. There is the ability to get into a fun progressive team that wants to change its industry.. Had an average manager in the end. But was good before then.",0.0021959024,0.037784293,0.9600198,Positive Sentiment
Octopus Investments,1,"Low pay, no loyalty","Friendly staff, social activities, work life balance","Low pay, no loyalty to staff which casts doubt on their true B Corp status","Low pay, no loyalty. Friendly staff, social activities, work life balance. Low pay, no loyalty to staff which casts doubt on their true B Corp status",0.6554192,0.31452125,0.030059602,Negative Sentiment
Octopus Investments,1,Good start,"Life balance, opportunities, people, colleagues","Management, development, not enough progression","Good start. Life balance, opportunities, people, colleagues. Management, development, not enough progression",0.0060985247,0.087203085,0.90669835,Positive Sentiment
Octopus Investments,3,Average. Good stepping stone to better firms,After work drinks. Nice building. Desks that go up and down (exciting stuff).,"Senior and mid-level management.
Corporate identity.
Zero cohesiveness between the different departments / companies.
C-Level board haven't got a clue on what's really going on or they just don't care.","Average. Good stepping stone to better firms. After work drinks. Nice building. Desks that go up and down (exciting stuff).. Senior and mid-level management.
Corporate identity.
Zero cohesiveness between the different departments / companies.
C-Level board haven't got a clue on what's really going on or they just don't care.",0.009715176,0.23258981,0.757695,Positive Sentiment
Octopus Investments,5,Amazing place to work!,"Octopus has such a great energy about it as a business, its people are dynamic, driven but also friendly and transparent. The energy within the business means that you are constantly learning, trying new things and solving problems - and are given lots of autonomy and creativity to do so. Outside of this, the company offers a clear and solid path for development, with a structured process for annual reviews and promotions - it is somewhere that enables you to have a long and varied career.","I personally love the non-corporate, non-hierachial ways of working, but for someone coming from corporate finance it may not be for them and take some adapting to.","Amazing place to work!. Octopus has such a great energy about it as a business, its people are dynamic, driven but also friendly and transparent. The energy within the business means that you are constantly learning, trying new things and solving problems - and are given lots of autonomy and creativity to do so. Outside of this, the company offers a clear and solid path for development, with a structured process for annual reviews and promotions - it is somewhere that enables you to have a long and varied career.. I personally love the non-corporate, non-hierachial ways of working, but for someone coming from corporate finance it may not be for them and take some adapting to.",0.002013308,0.01975319,0.9782336,Positive Sentiment
Octopus Investments,1,Worst company ever worked for,I am Being wery honest only walls and chairs,There is money loundering and had got threats after i have noticed. Do not ever invest if do consider have a look at there energy suppliers and the only excuse they have that they have to Power the plants the amounts dont make sense millions and over 50 invoices a week have a look at the system they use one was called proactis and the other one Sun.very scary people and they have made threats and i have been stocked by them to not talk to the point of having to leave the country,Worst company ever worked for. I am Being wery honest only walls and chairs. There is money loundering and had got threats after i have noticed. Do not ever invest if do consider have a look at there energy suppliers and the only excuse they have that they have to Power the plants the amounts dont make sense millions and over 50 invoices a week have a look at the system they use one was called proactis and the other one Sun.very scary people and they have made threats and i have been stocked by them to not talk to the point of having to leave the country,0.97418547,0.023445046,0.0023694625,Negative Sentiment
Octopus Investments,5,Excellent company to work for,"Constantly challenging and innovating, never a dull day",Occasional long hours and some mid level managers are weak,"Excellent company to work for. Constantly challenging and innovating, never a dull day. Occasional long hours and some mid level managers are weak",0.010328609,0.12802708,0.8616443,Positive Sentiment
Octopus Investments,5,I would recommend Octopus to almost anyone,Fantastic Culture Great people Good benefits Plenty extras to get involved in Very approachable managers,You don't work here for the pay,I would recommend Octopus to almost anyone. Fantastic Culture Great people Good benefits Plenty extras to get involved in Very approachable managers. You don't work here for the pay,0.0020705664,0.057723604,0.9402059,Positive Sentiment
Octopus Investments,3,Good people,The job had good people,,Good people. The job had good people. nan,0.008851319,0.11216342,0.8789852,Positive Sentiment
Octopus Investments,4,varied company with a lot to do,great group of people working for the company,"
lots of competition between the different companies of the group","varied company with a lot to do. great group of people working for the company. 
lots of competition between the different companies of the group",0.13967383,0.7800167,0.08030942,Neutral Sentiment
Octopus Investments,4,"Good place to work, but need to be willing to roll up sleeves","Variety of work, career progression","Pay is average, average managers","Good place to work, but need to be willing to roll up sleeves. Variety of work, career progression. Pay is average, average managers",0.006110722,0.101427995,0.8924613,Positive Sentiment
Octopus Investments,5,Great culture and environment,"Great environment, culture and work.","Travel cost, money and time","Great culture and environment. Great environment, culture and work.. Travel cost, money and time",0.0044854954,0.05677692,0.9387376,Positive Sentiment
Octopus Investments,5,Fantastic company and great culture,"* Lots of different business units, opportunity to work across many different areas, not just in investments. * Great work-culture, very socially-active. * Very entrepreneurial; unlike other companies that use ""entrepreneurship"" as marketing, Octopus actively encourage entrepreneurship and have schemes in place to help you launch your own business.",No real downsides - it was probably the best company I ever worked for!,"Fantastic company and great culture. * Lots of different business units, opportunity to work across many different areas, not just in investments. * Great work-culture, very socially-active. * Very entrepreneurial; unlike other companies that use ""entrepreneurship"" as marketing, Octopus actively encourage entrepreneurship and have schemes in place to help you launch your own business.. No real downsides - it was probably the best company I ever worked for!",0.0020742759,0.015918478,0.9820072,Positive Sentiment
Octopus Investments,4,Fun times and good memories!,Good team Fun events in and out of the office Bonus Share options,Not flexible working remote wise due to having a fancy London office but fair enough.,Fun times and good memories!. Good team Fun events in and out of the office Bonus Share options. Not flexible working remote wise due to having a fancy London office but fair enough.,0.002280089,0.022112757,0.97560716,Positive Sentiment
Octopus Investments,5,Fantastic Melbourne office,"Great company. Melbourne office truly pushing the boundaries of the energy transition. Authentic nice people to work with. No egos, just changing the world for the better.","None, great company great people.","Fantastic Melbourne office. Great company. Melbourne office truly pushing the boundaries of the energy transition. Authentic nice people to work with. No egos, just changing the world for the better.. None, great company great people.",0.013065211,0.16633312,0.8206017,Positive Sentiment
Octopus Investments,4,Good benefits but low salary,"B corp company, great platform for benefits, flexible working environment","Low salary with heavy workload expectations, rigorous annual review","Good benefits but low salary. B corp company, great platform for benefits, flexible working environment. Low salary with heavy workload expectations, rigorous annual review",0.056253184,0.30233702,0.6414098,Positive Sentiment
